native_pin,mdl_yr,mfg_dt,eph_decal_model_nm,end_cptr_dt,max_Total.Separator.Hours,end_engn_hours_Total.Separator.Hours,Mid_Latitude,Mid_Longitude,Header.Width, City,State,Country
1Z0W550ATBD087c686d9,2012,12/1/2011,W550,9/16/2025,3338.5498,5378.8,54.1,63.3,8.299999,,Kostanay,Kazakhstan
1CQS680ACG0110654,2016,12/6/2016,S680,12/4/2025,3554.05,4898.85,-21.1,-54.9,12,,Mato Grosso do Sul,Brazil
1H0S670SHD0756831,2013,5/6/2013,S670,1/8/2025,3141.0498,4698.55,-38,144,12,Shelford,Victoria,Australia
1Z0W540AHHD12731a146,2017,4/27/2017,W540,9/19/2025,3660.2498,6635.85,43.1,74,4.2,,,Kyrgyzstan
1CQS670APJ0120470,2017,3/28/2018,S670,4/10/2025,3604.4,5123.6,-11.7,-57.1,11.8,Porto dos Gaúchos,Mato Grosso,Brazil
1H0S690SEE0765429,2014,5/29/2014,S690,12/11/2025,3929.5,5270.85,-29.5,151.3,12,Pindaroi,New South Wales,Australia
1J0S660BLH0120212,2017,9/13/2017,S660,12/10/2025,3554.1,6212.25,0,0,10.66,,,
1J0S670BTH0120237,2017,9/9/2017,S670,11/26/2025,3668.15,5483.15,-26.6,-60.5,12,Presidencia Roque Sáenz Peña,Chaco,Argentina
1Z0S660ACHA1974c09d5,2017,6/23/2017,S660,10/21/2025,3763.2498,5378.6,51.9,67.3,8.599999,,Akmola,Kazakhstan
1Z0T660AABL05ea2d4b0,2012,12/1/2011,T660,12/11/2025,7071.7495,11449.3,49.1,26.4,5.6,Івахнівці,Khmelnytskyi Oblast,Ukraine
1CQS670AAE0090187,2014,7/29/2014,S670,11/25/2025,4342.4,6654.4,-24.4,-56.4,10,Guajayvi,San Pedro,Paraguay
1H0S670SHC0747559,2012,7/20/2012,S670,10/16/2025,3062.5,4363.1,41.2,-98,6.096,Central City,Nebraska,United States
1Z0S680AVGC1c518b178,2016,6/4/2016,S680,12/3/2025,6086.9,9668.75,49.2,30,10.499999,Житники,Cherkasy Oblast,Ukraine
1H0S670SHD0756862,2013,5/7/2013,S670,12/11/2025,3647.85,4625.65,-36.1,142.1,12,Jeparit,Victoria,Australia
1H0S670SJB0745690,2011,12/13/2011,S670,10/13/2025,3103,4347.05,29.3,-94.8,9.144,Galveston,Texas,United States
1J0S670BCG0110305,2016,2/9/2017,S670,12/11/2025,9138.95,13166.1,-38.1,-60,12,Adolfo Gonzales Chaves,Buenos Aires Province,Argentina
1J0S770BPL0130175,2019,3/2/2020,S770,12/11/2025,4574.3,6338.95,-36.9,-62.2,12.05,Huanguelén,Buenos Aires Province,Argentina
1H0S680SAD0756301,2013,4/25/2013,S680,12/11/2025,4137.85,5065.8,-30.6,116.5,12.16,Bindi Bindi,Western Australia,Australia
1J0S660BKG0110240,2016,12/2/2016,S660,12/11/2025,5096.65,9074.15,-37.5,-59.4,7.28,Vela,Buenos Aires Province,Argentina
1Z0S680ATHC11f4ccfd3,2017,4/7/2017,S680,8/7/2025,5700.4,12343.15,51.7,33,10.299999,Іваньків,Chernihiv Oblast,Ukraine
1Z0W550AJBD0a6b895d2,2012,12/1/2011,W550,10/21/2025,3807.7998,5802.85,51.6,67.4,9.143999,,Akmola,Kazakhstan
1Z0W550AKBD06f529e1e,2012,12/1/2011,W550,10/22/2025,3655.95,5570.35,51.6,67.4,9.143999,,Akmola,Kazakhstan
1J0S770BAK0130103,2019,6/20/2019,S770,12/10/2025,4771.6,6124.1,-33,-63.9,9.4,Olaeta,Córdoba,Argentina
1CQS680AKJ0120251,2017,1/22/2018,S680,12/11/2025,3778.45,5586.75,-34.2,-59.7,13.5,Duggan,Buenos Aires Province,Argentina
1H0S680SVC0746736,2012,6/20/2012,S680,11/24/2025,3112.9,4250.7,45.4,-97.8,10.668,Andover,South Dakota,United States
1H0S670SKD0757985,2013,8/23/2013,S670,10/28/2025,4620.6,7025.05,0,0,10.64,,,
1Z0S770AVME140cc6b77,2021,6/24/2021,S770,12/11/2025,3680.65,6640.3,48.7,30.5,8.85,Бабанка,Cherkasy Oblast,Ukraine
1J0S670BAG0110332,2016,2/8/2017,S670,11/29/2025,6834.75,9999,-25.4,-63.9,8.32,Gaona,Salta,Argentina
1Z0T660BJEL001135169,2015,12/16/2014,T660,10/26/2025,3817.95,6269.7,37.7,-5.1,,Fuente Palmera,Córdoba,Spain
1Z0T660BTDL06392b6f0,2013,4/1/2013,T660,12/1/2025,5073.65,7279.6,40.3,-2.4,6.4999995,Castillo-Albaráñez,Cuenca,Spain
1Z0T660BVCL07e3e5fc9,2013,11/1/2012,T660,9/30/2025,3788.5498,5512.35,41.6,-5.1,7.4999995,Gallegos de Hornija,Valladolid,Spain
1H0S660SVG0700c002f1,2016,6/20/2016,S660,10/28/2025,3395.15,4909.55,53,66.6,9.143999,,North Kazakhstan,Kazakhstan
1H0S770SCJ0800667,2018,4/23/2018,S770,11/19/2025,3507.6,5412.85,38.5,-101.1,,Modoc,Kansas,United States
1Z0S780AJJF112020,2018,6/18/2018,S780,12/11/2025,3080.1,3822.05,-30.4,118.3,18.2,North Wialki,Western Australia,Australia
1J0S670BPH0120286,2017,10/17/2017,S670,8/11/2025,4080.2,5549.35,-32.7,-61.9,8.1,General Roca,Córdoba,Argentina
1CQS670AAG0110523,2016,10/4/2016,S670,12/11/2025,3257.05,4634.95,-34.4,-57,12,Scavino,San José,Uruguay
1H0S680SAD0768f071b6,2013,1/10/2013,S680,11/25/2025,3718.2498,5605.65,44.4,27.9,9.139999,Stelnica,Ialomița,Romania
1H0S680SKF0775508,2015,3/12/2015,S680,12/11/2025,3312.95,4043.05,-32.8,117.5,12.2,Wickepin,Western Australia,Australia
1Z0T660BPGM0b8fb88d1,2016,1/12/2016,T660,10/16/2025,4204.8496,6571,42.7,-4.6,7.4999995,Congosto de Valdavia,Palencia,Spain
1CQS550ACH0120242,2017,10/4/2017,S550,12/8/2025,4701.85,6876.8,-25.1,-53.9,,,Paraná,Brazil
1H0S660SAD0765097,2014,11/26/2013,S660,12/9/2025,3286.3,5649.25,-28.2,28.2,7.76,Dihlabeng NU,Free State,South Africa
1Z0S770ACME18e1acac7,2021,5/18/2021,S770,11/26/2025,3527.05,5868.65,48.7,30.5,8.85,Бабанка,Cherkasy Oblast,Ukraine
1J0S670BCG0110255,2016,10/24/2016,S670,12/11/2025,5170.15,8146.55,-35.8,-60.7,12,Valdez,Buenos Aires Province,Argentina
1H0S680SPF0775815,2015,4/25/2015,S680,12/11/2025,3206.05,4123,-33.2,121.5,12,Lort River,Western Australia,Australia
1H0S690SVC07413fa837,2012,3/12/2012,S690,12/5/2025,6856.15,11137.85,49.4,31.3,6,Карашина,Cherkasy Oblast,Ukraine
1J0S660BVH0120174,2017,7/12/2017,S660,9/16/2025,3626.9,5356.75,-33.2,-64.7,8.4,La Carolina,Córdoba,Argentina
1H0S670SVD0765024,2014,11/1/2013,S670,10/1/2025,4899.1,7470.95,-26.9,27,,Tlokwe City Council NU,North West,South Africa
1J0S670BCG0110336,2016,3/3/2017,S670,12/2/2025,4462,6584.45,-31.3,-64.1,9.45,Esquina,Córdoba,Argentina
1J0S680BCH0120167,2017,12/18/2017,S680,12/10/2025,4037.6,5039.8,-33.1,-64.3,10.5,Río Cuarto,Córdoba,Argentina
1CQS680AKG0110375,2016,1/14/2016,S680,12/5/2025,4336.55,5995,-11.8,-56.1,12,Ipiranga do Norte,Mato Grosso,Brazil
1J0S660BJH0120219,2017,10/5/2017,S660,11/23/2025,3657.85,5521.95,-30.2,-63.8,8.4,Rayo Cortado,Córdoba,Argentina
1Z0S670AJFP031b16576,2015,5/27/2015,S670,11/18/2025,3499.2998,5434.9,43.6,26.1,6.4999995,Сваленик,Ruse,Bulgaria
1CQS670APE0090215,2014,8/18/2014,S670,2/23/2025,4547.25,7142.55,0,0,10.35,,,
1H0S670SHB0745700,2011,12/14/2011,S670,11/17/2025,3052.4,4666.65,43.4,-92.2,12.04,Lime Springs,Iowa,United States
1J0S670BCE0090019,2014,1/19/2015,S670,12/11/2025,3407.5,5331.35,-34.2,-60.7,12,Rojas,Buenos Aires Province,Argentina
1H0S660SCG0722cc10b3,2016,6/14/2016,S660,10/12/2025,3128.2,4739.5,51.6,68.2,9.143999,,Akmola,Kazakhstan
1H0S680SCC0746663,2012,6/14/2012,S680,12/11/2025,4900.45,7426.85,-34.3,-56.6,12.1,San José de Mayo,San José,Uruguay
1Z0S670AAHC1f7c4cb98,2017,6/7/2017,S670,12/9/2025,4855.6997,8257.65,50.1,28,5.6,Романівка,Zhytomyr Oblast,Ukraine
1Z0S770ALKE14cd9f8df,2019,3/18/2019,S770,12/11/2025,4318.85,7035.8,48.4,32.6,5.6,Новоандріївка,Kirovohrad Oblast,Ukraine
1Z0W540AHEL046af6812,2014,1/1/2014,W540,10/10/2025,3652.2,5215.85,42,-5.3,6.1,Bolaños de Campos,Valladolid,Spain
1H0S670SCB0745733,2011,12/20/2011,S670,12/11/2025,4659.7,6969.65,-33.6,-57,12,Trinidad,Flores,Uruguay
1Z0S690TEHR19850c8aa,2017,1/4/2017,S690,12/10/2025,5740.6,9526.4,50.4,29.2,8.4,Ставки,Zhytomyr Oblast,Ukraine
1CQS660ACJ0125417,2018,11/19/2018,S660,11/12/2025,3496.45,5517.9,-13.6,-59.3,10.3,,Mato Grosso,Brazil
1H0S680STD07cc396827,2013,6/7/2013,S680,12/5/2025,4491.9497,7207.35,37.1,-6.2,6,Isla Mayor,Seville,Spain
1J0S660BLE0090009,2014,12/2/2014,S660,12/11/2025,5740.95,8922.2,-36.8,-61.8,10.95,Huanguelén,Buenos Aires Province,Argentina
1Z0S670ACHB19903dc6c,2017,6/9/2017,S670,11/6/2025,3635.7498,6537.35,-12,-77.1,5.6,Lima,Lima Province,Peru
1H0S680SEDT756298,2013,4/29/2013,S680,12/11/2025,3021,3995.55,-31.3,116.5,12,Wattening,Western Australia,Australia
1Z0S660ACGA1a254ef35,2016,1/14/2016,S660,11/15/2025,3430.45,4179.85,49.7,35,7,Кантемирівка,Poltava Oblast,Ukraine
1H0S670SVD0756727,2013,4/19/2013,S670,12/11/2025,3539.05,5557.55,-34.3,-57.1,13.5,Scavino,San José,Uruguay
1J0S670BVG0110331,2016,2/2/2017,S670,11/20/2025,4140.35,5365.75,-32.2,-64.3,9.45,Almafuerte,Córdoba,Argentina
1CQS660ACJ0125490,2018,12/12/2018,S660,12/8/2025,3264.95,4599.55,0,0,6,,,
1H0S670SHC0746962,2012,5/23/2012,S670,2/4/2025,4276.9,5682.7,-31.4,118.3,,Nokaning,Western Australia,Australia
1J0S660BHH0120258,2017,12/5/2017,S660,12/11/2025,3619.3,5220,-35.2,-60.2,10.5,Alberti,Buenos Aires Province,Argentina
1Z0S660AEGB102653,2016,7/4/2016,S660,12/11/2025,3808.5,5048.45,-30.2,116.8,12,Nugadong,Western Australia,Australia
1J0S670BLG0110316,2016,1/20/2017,S670,12/11/2025,6287.7,9668.2,-38.6,-62.3,12,Bahía Blanca,Buenos Aires Province,Argentina
1Z0T660ACCE09fcfa4a0,2012,2/1/2012,T660,7/11/2025,3584.9,5104.45,47.7,35,7.3999996,Мар'ївка,Zaporizhzhia Oblast,Ukraine
1J0S670BAH0120246,2017,9/26/2017,S670,12/11/2025,5790.15,9141.5,-38.5,-60.2,12,Tres Arroyos,Buenos Aires Province,Argentina
1H0S690SCF0775176,2015,4/29/2015,S690,10/9/2025,3253.2,4396.1,50,-106.9,6.706,Hodgeville,Saskatchewan,Canada
1J0S660BCH0120156,2017,6/7/2017,S660,12/11/2025,3942.8,6172.35,-33.4,-60.9,10.5,Santa Teresa,Santa Fe,Argentina
1H0S670SCE0775013,2015,11/24/2014,S670,11/28/2025,4292.25,6213.35,-25,28.7,,Dr JS Moroka NU,Mpumalanga,South Africa
1J0S660BEF0090029,2015,2/18/2015,S660,12/11/2025,4837.3,6923.4,-34.1,-62.6,10.5,Rufino,Santa Fe,Argentina
1Z0W540ACFD019299a54,2015,4/7/2015,W540,10/14/2025,3271.15,5558.45,50.5,81.1,18,,Abai,Kazakhstan
1H0S680SHE0766024,2014,2/20/2014,S680,12/9/2025,3008.1,4593.8,-33.4,-53.9,12,María Isabel,Rocha,Uruguay
1CQS670AHH0120134,2017,2/14/2017,S670,12/9/2025,3895.5,5693.1,-33.5,-57.8,12.1,Palmitas,Soriano,Uruguay
1H0S660SVE0775032,2015,11/21/2014,S660,11/24/2025,3397.8,4715.1,-28.1,26.6,6.6,Matjhabeng NU,Free State,South Africa
1Z0S770AKJD148182c28,2018,1/15/2018,S770,12/9/2025,3645.85,5530.3,47.8,34.9,8.5,Долинське,Zaporizhzhia Oblast,Ukraine
1Z0W660AHGD0a7e5d665,2016,2/29/2016,W660,12/11/2025,3136.0498,4363.35,48.8,32.5,5.6,Цибулеве,Kirovohrad Oblast,Ukraine
1H0S660SKC0747188,2012,9/10/2012,S660,12/3/2025,3166.15,4206.35,42.1,-84.6,10.668,Hanover,Michigan,United States
1H0S670SLE0765514,2014,2/6/2014,S670,11/27/2025,3045.75,4303.95,-27.8,152.5,10.5,Merryvale,Queensland,Australia
1Z0S670ALDM0da45d321,2013,6/1/2013,S670,11/25/2025,3238.2998,5870.2,46.7,20.4,9.12,Fábiánsebestyén,Csongrád-Csanád,Hungary
1CQS660AKJ0125115,2018,5/16/2018,S660,10/22/2025,3504.2,4643.45,-17.2,-49,,Piracanjuba,Goiás,Brazil
1H0S680SCD0755646,2013,2/4/2013,S680,12/8/2025,5713.15,8432.8,-32.5,-58,12,Paysandú,Paysandú,Uruguay
1J0S670BCH0120311,2017,11/28/2017,S670,11/23/2025,3431.75,4656.85,-32,-62,12.2,San Jorge,Santa Fe,Argentina
1J0S670BKF0110114,2015,8/20/2015,S670,12/4/2025,5454.35,8917.25,-32.7,-62.3,,Leones,Córdoba,Argentina
1J0S780BKL0130118,2019,1/15/2020,S780,12/11/2025,3071,4160,-33.3,-62.1,12.19,Corral de Bustos,Córdoba,Argentina
1H0S670SEE0766312,2014,3/18/2014,S670,11/21/2025,3185.5498,4552.85,0,0,10.363,,,
1J0S760BCL0130152,2019,1/15/2020,S760,12/9/2025,3562.1,5046.7,-35.1,-63.1,10.5,General Villegas,Buenos Aires Province,Argentina
1Z0W550AABD0ad6b0ed1,2012,12/1/2011,W550,12/3/2025,5045,8039.75,53.8,64.2,9.143999,,Kostanay,Kazakhstan
1H0S670SAE0767164,2014,8/6/2014,S670,12/2/2025,3015.1,4473.1,20.8,-103.6,9.144,Zapopan,Jalisco,Mexico
1Z0S670AVFP08debd28b,2015,1/26/2015,S670,12/4/2025,3729.1,5632.65,45.8,18.4,7.6,Siklósnagyfalu,Baranya County,Hungary
1Z0S780AKLF143dc7e8d,2020,6/3/2020,S780,12/11/2025,3331.25,5388.65,49,25.4,8.8,Сороки,Ternopil Oblast,Ukraine
1H0S660SAD07d427a100,2013,2/20/2013,S660,12/11/2025,4149.8496,6445.7,50,29.6,5.6,Єрчики,Zhytomyr Oblast,Ukraine
1J0S680BCH0120153,2017,9/30/2017,S680,12/11/2025,3736.85,5237.75,-34.7,-60.2,11.9,Rawson,Buenos Aires Province,Argentina
1Z0S680AEHC1cd8dea47,2017,3/30/2017,S680,12/2/2025,5666.05,9014.45,49.4,31,10.2,Сидорівка,Cherkasy Oblast,Ukraine
1J0S670BJG0110326,2016,2/13/2017,S670,12/11/2025,4368.2,6169.35,-37.9,-58.1,12.1,Balcarce,Buenos Aires Province,Argentina
1Z0S670AVGA108c08682,2016,5/6/2016,S670,12/10/2025,3125.5498,4996.15,50.9,33.5,5.6,Хмелів,Sumy Oblast,Ukraine
1J0S770BTL0130174,2019,2/27/2020,S770,12/11/2025,3274.3,4634.7,-33.1,-61.2,8.4,Casilda,Santa Fe,Argentina
1H0S660SKC0746168,2012,4/17/2012,S660,12/11/2025,3251,4343.05,-36.1,141.5,10.4,Yanac,Victoria,Australia
1H0S670SKD0755914,2013,2/6/2013,S670,11/11/2025,3097,4134.75,37.6,-100.6,9.144,Copeland,Kansas,United States
1Z0S760APJD1db764b56,2018,4/9/2018,S760,12/10/2025,3142.6,5662.6,51.4,33.5,9,Прилужжя,Sumy Oblast,Ukraine
1H0S680SKE0766919,2014,6/10/2014,S680,12/11/2025,4301.8,5427.35,-32.5,116.6,12.1,Springs,Western Australia,Australia
1J0S780BHM0140108,2021,8/25/2021,S780,12/11/2025,3515.45,4563.8,-34.4,-59.3,13.5,Villa Ruiz,Buenos Aires Province,Argentina
1Z0T550AKFL012b25ba6,2015,5/20/2015,T550,10/31/2025,3110.7998,4535.95,42.1,-4.8,,Fuentes de Nava,Palencia,Spain
1Z0T660BCJP1d7bff289,2018,5/9/2018,T660,12/11/2025,4184.15,6467.7,42,0,4.26,Laluenga,Huesca,Spain
1H0S670SPC0755389,2013,12/12/2012,S670,12/11/2025,3342.4,4753.65,41.5,-104,9.144,Harrisburg,Nebraska,United States
1H0S670SJE0767273,2014,8/20/2014,S670,11/19/2025,3377.05,5226.15,36.5,-97.3,10.668,Red Rock,Oklahoma,United States
1J0S680BHH0120143,2017,9/23/2017,S680,12/10/2025,4063.7,6145.55,-37.6,-61.3,13.7,Pontaut,Buenos Aires Province,Argentina
1H0S670SLC0746099,2012,2/13/2012,S670,11/19/2025,3293.65,4792.55,48.5,-97.4,4.481,Grafton,North Dakota,United States
1H0S680SKD0756261,2013,4/5/2013,S680,4/29/2025,3033,4725.3,41.1,-76.6,12.192,Bloomsburg,Pennsylvania,United States
1H0S680SAD0757013,2013,6/18/2013,S680,11/28/2025,3514.95,4988,42.3,-89.3,10.668,Winnebago,Illinois,United States
1H0S680SJF0775848,2015,4/28/2015,S680,12/4/2025,3031.3,4213.2,51.3,-105,12.192,Cymric,Saskatchewan,Canada
1CQS760AHL0135345,2020,12/9/2020,S760,11/8/2025,3179.75,5097.75,-17.3,-50.3,10.5,,Goiás,Brazil
1Z0S760AKJD1a284eb56,2018,2/5/2018,S760,12/4/2025,6085.3,9190.55,50.4,32,5.6,Вознесенське,Kyiv Oblast,Ukraine
1Z0S770AKLE19d5fc759,2020,2/5/2020,S770,12/5/2025,3287.55,5670.75,48.7,31.1,5.6,Низове,Kirovohrad Oblast,Ukraine
1CQS660APK0125552,2018,1/23/2019,S660,8/26/2025,3327.9,4707.05,0,0,7.5,,,
1Z0S770AKKE1d0a5cd2e,2019,5/24/2019,S770,12/10/2025,3442.1,6395.85,50.9,33.5,7.5,Хмелів,Sumy Oblast,Ukraine
1J0S680BLF0110109,2015,8/24/2015,S680,12/11/2025,4946.75,7708.35,-34.2,-59.7,12,Duggan,Buenos Aires Province,Argentina
1Z0S780AJKF116781,2019,6/7/2019,S780,12/11/2025,3470.35,4072.35,-30.3,116.5,12,Miling,Western Australia,Australia
1Z0W650ATDL040d9007a,2014,12/1/2013,W650,12/5/2025,4085.35,6674.9,39.2,-2.1,7.5,La Roda,Albacete,Spain
1J0S680BHJ0120178,2017,2/6/2018,S680,12/11/2025,4567.8,6726.75,-34.1,-59.3,12,Villa Lía,Buenos Aires Province,Argentina
1Z0S670BEDM05f9c0760,2013,5/1/2013,S670H,12/8/2025,4999.4995,8691.95,48.8,29.1,5.6,Анциполівка,Vinnytsia Oblast,Ukraine
1Z0S770ACHE15bd91086,2018,11/28/2017,S770,12/10/2025,3932,7010.3,51,34.7,5.6,Рогізне,Sumy Oblast,Ukraine
1CQS680ATE0090090,2014,10/6/2014,S680,12/11/2025,4236.85,6082.5,-12.6,-55.1,11,,Mato Grosso,Brazil
1H0S670SVC0747511,2012,7/16/2012,S670,12/9/2025,3098.05,5108.9,43.6,-80.5,,West Montrose,Ontario,Canada
1H0S680SCD0757803,2013,9/5/2013,S680,12/9/2025,4300.35,6108.2,-34.3,-56.8,9.12,San José de Mayo,San José,Uruguay
1H0S680SCC07fc4446d5,2012,4/8/2012,S680,11/10/2025,4395.55,7398.15,44.1,23.8,,Segarcea,Dolj,Romania
1J0S660BLF0090058,2015,5/15/2015,S660,12/10/2025,5304.8,9223.5,-35.8,-62.6,10.4,Beruti,Buenos Aires Province,Argentina
1CQS680AVF0110279,2015,8/24/2015,S680,12/8/2025,3038.4,4804.7,-24.8,-50.2,6.3,,Paraná,Brazil
1H0S680SKD0757796,2013,9/5/2013,S680,12/11/2025,3829.3,5459.15,-33.8,-56.5,12.19,Corral de Piedra,Flores,Uruguay
1H0S690SLF0775313,2015,6/29/2015,S690,11/5/2025,3102.55,4379.85,43.8,-93.8,13.716,Wells,Minnesota,United States
1Z0T660AHFL064256035,2015,3/30/2015,T660,10/30/2025,4262.9,6470.95,42.1,-5.2,,Becilla de Valderaduey,Valladolid,Spain
1J0S670BVF0090080,2015,5/26/2015,S670,12/11/2025,5479.3,8565.8,-38.3,-61.9,12,Cabildo,Buenos Aires Province,Argentina
1H0S660STC0787a53fc1,2012,4/24/2012,S660,10/25/2025,3236.5999,4751.8,53.1,70.7,9.143999,,Akmola,Kazakhstan
1Z0S660APGP100179,2016,1/8/2016,S660,12/2/2025,3997.1,6599.6,43.1,27.1,4.2,Кълново,Shumen,Bulgaria
1H0S670SED0756720,2013,4/18/2013,S670,12/11/2025,4225.75,5636.25,-30.5,117.8,12,Beacon,Western Australia,Australia
1J0S660BJF0090037,2015,3/18/2015,S660,11/19/2025,3958.75,5481,-33.7,-64.4,10.5,Malena,Córdoba,Argentina
1J0S670BVG0110281,2016,12/26/2016,S670,12/10/2025,5599,8474.95,-35.1,-62.7,12,General Villegas,Buenos Aires Province,Argentina
1Z0S680ALGC102302,2016,5/23/2016,S680,12/10/2025,3496.8,4245.05,-32.2,150.1,15,Merriwa,New South Wales,Australia
1Z0W650AJFL0069ac3f4,2015,5/7/2015,W650,9/18/2025,3990.9,5866.7,42.8,23,6.9,Гургулят,Sofia,Bulgaria
1H0S680SCE0766521,2014,5/12/2014,S680,12/10/2025,3168.5,3874.35,-28.3,114.5,12,Sandy Gully,Western Australia,Australia
1J0S670BPG0110243,2016,10/4/2016,S670,11/27/2025,4546.95,6375.9,-25.5,-64.7,8.4,Metan,Salta,Argentina
1Z0W540APDD078905ab5,2014,11/1/2013,W540,10/20/2025,3651.65,5878.1,54.7,67,9.143999,,North Kazakhstan,Kazakhstan
1CQS670AKG0110290,2016,1/19/2016,S670,11/21/2025,3735.9,6185.25,-16.6,-54.7,,Rondonópolis,Mato Grosso,Brazil
1H0S660STD0755659,2013,2/28/2013,S660,11/25/2025,3320.3,5155,39.6,-77.8,7.468,Williamsport,Maryland,United States
1CQS660AEF0090397,2015,2/25/2015,S660,1/22/2025,4612.65,7334.35,-23.9,-48.7,9.12,Taquarivaí,São Paulo,Brazil
1H0S670SHD0757090,2013,5/23/2013,S670,12/9/2025,3047.5,4634.15,38.6,-98.4,9.144,Holyrood,Kansas,United States
1H0S680SAD0755357,2013,1/7/2013,S680,7/18/2025,4051.0999,6127.5,-27.9,26.1,12.19,Tswelopele NU,Free State,South Africa
1Z0S770AAJE1e358bce8,2018,4/11/2018,S770,12/11/2025,3209.05,6723.35,49.1,27.7,5.6,Котова,Vinnytsia Oblast,Ukraine
1H0S660SVG0792dff5ad,2016,6/21/2016,S660,10/26/2025,3508.9,4913,53,66.6,9.143999,,North Kazakhstan,Kazakhstan
1Z0T560BCEL030a65ebd,2014,2/1/2014,T560,10/26/2025,4834.5996,7101.4,38,-3.1,6.2,Cazorla,Jaén,Spain
1CQS550AKJ0120381,2017,1/23/2018,S550,12/6/2025,4308.85,6262.9,-31.1,-60.9,9,Pericota,Santa Fe,Argentina
1Z0S680AJHC120b69fe8,2017,4/6/2017,S680,9/16/2025,5713.8,12315.05,51.6,33.3,10.299999,Реутинці,Sumy Oblast,Ukraine
1Z0S770AHJF111886,2018,6/6/2018,S770,11/20/2025,3028.35,4625.3,-29.4,149.5,12,Moree,New South Wales,Australia
1CQS440ACJ0125122,2018,6/13/2018,S440,10/17/2025,3017.65,4061.65,-23.8,-54.1,7.5,Eldorado,Mato Grosso do Sul,Brazil
1H0S690STD0755484,2013,5/2/2013,S690,12/11/2025,3265.4,4207.2,-33.9,117.6,12.2,Broomehill West,Western Australia,Australia
1CQS660ALE0090170,2014,8/12/2014,S660,12/11/2025,6872.2,11107.8,-19.2,-44.7,9.144,Pompéu,Minas Gerais,Brazil
1J0S660BAE0090008,2014,12/2/2014,S660,12/11/2025,3286.8,4892.8,-33.6,-62.4,10.5,Arias,Córdoba,Argentina
1CQS680AKG0110487,2016,8/9/2016,S680,12/6/2025,3465.75,5688.45,0,0,9,,,
1H0S680SPE0767342,2014,7/28/2014,S680,12/9/2025,3047.8,3898.65,-35.5,143.6,12.2,Kunat,Victoria,Australia
1Z0S770AJJD1cdee7feb,2018,1/22/2018,S770,12/5/2025,3699.3,6173.8,47.7,30.1,8.8,,Odesa Oblast,Ukraine
1CQS690APH0120149,2017,9/25/2017,S690,12/9/2025,4021.4,6013.65,-32.2,-61.7,,El Trébol,Santa Fe,Argentina
1J0S770BCL0130150,2019,1/13/2020,S770,12/11/2025,4364.85,5946.35,-37.3,-61.9,12,La Primavera,Buenos Aires Province,Argentina
1Z0T660ATDL0769a90ff,2013,4/1/2013,T660,11/26/2025,4029.7,6813.0835,48,18,,Zemné,Nitra,Slovakia
1Z0T660AVCL0c8c8bbfe,2012,1/1/2012,T660,12/4/2025,3375.5498,5611.4,47.9,21.3,,Hajdúnánás,Hajdú-Bihar,Hungary
1CQS680AJF0090290,2015,2/13/2015,S680,11/5/2025,3987.95,5550.25,-9.3,-45,11.95,,Piauí,Brazil
1CQS550AAL0135150,2020,6/20/2020,S550,12/8/2025,3639.9,5307.1,-26.9,-52.9,7,Nova Erechim,Santa Catarina,Brazil
1CQS550AJJ0120348,2017,1/13/2018,S550,12/10/2025,4344.4,5751.3,-28.7,-55.8,7.26,São Borja,Rio Grande do Sul,Brazil
1H0S660SCG073cfe5002,2016,6/17/2016,S660,11/20/2025,3188.8499,4763.95,53.6,64.2,11,,Kostanay,Kazakhstan
1H0S670SCD0755771,2013,1/24/2013,S670,12/3/2025,3096.15,4283.95,36.7,-102,10.668,Texhoma,Oklahoma,United States
1H0S680SLC0755102,2013,11/14/2012,S680,12/2/2025,3249.55,4810.4,48,-98,10.668,Petersburg,North Dakota,United States
1J0S660BTF0110136,2016,11/13/2015,S660,12/11/2025,3997.25,6398.55,-39.8,-62.7,10.5,Villalonga,Buenos Aires Province,Argentina
1Z0S660AVHA10ae44c48,2017,3/29/2017,S660,11/17/2025,4339.3,6220.55,48.4,31.4,9,Новомиколаївка,Kirovohrad Oblast,Ukraine
1CQS760AKL0135174,2020,7/9/2020,S760,12/1/2025,3102.25,4371.25,-24.4,-53.9,8.1,Nova Santa Rosa,Paraná,Brazil
1Z0S690AKGC102749,2016,7/14/2016,S690,12/11/2025,4149.15,6566.3,-38.1,143.8,9.14,Wingeel,Victoria,Australia
1H0S760SCJ0805001,2019,11/9/2018,S760,12/8/2025,3987.05,5035.45,-29.8,30.3,6.096,Richmond NU,KwaZulu-Natal,South Africa
1Z0T660BJGL023e8ad3b,2016,2/16/2016,T660,11/28/2025,4980.7495,7647.65,38,-2.3,7.3999996,Puebla de Don Fadrique,Granada,Spain
1CQS690AJH0120154,2017,9/27/2017,S690,12/11/2025,3655.05,4889.9,-38.8,-60.6,13.5,Oriente,Buenos Aires Province,Argentina
1H0S680SHE0766038,2014,3/17/2014,S680,12/11/2025,3326.5,4889.8,-29.8,116.5,12,Latham,Western Australia,Australia
1J0S550BAH0120139,2017,9/8/2017,S550,12/9/2025,3607.1,4628.5,-33.6,-62.3,7.35,Arias,Córdoba,Argentina
1Z0S680APGC102825,2016,7/26/2016,S680,12/11/2025,3644.25,4853.75,-34.4,141.3,13.5,Meringur,Victoria,Australia
